City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
79,Otradnoye,59.7775,30.8181,41.18,overcast clouds,76,88,4.74,RU
80,Kapaa,22.0752,-159.319,82.38,light rain,72,90,7.0,US
81,Dunedin,-45.8742,170.5036,51.8,overcast clouds,60,100,8.01,NZ
82,Yulara,-25.2406,130.9889,53.44,clear sky,37,0,6.91,AU
83,Nizhniy Tsasuchey,50.5167,115.1333,30.33,few clouds,77,16,6.82,RU
84,Chokurdakh,70.6333,147.9167,12.67,overcast clouds,97,100,5.21,RU
85,Hithadhoo,-0.6,73.0833,83.3,broken clouds,75,68,21.12,MV
86,Mehamn,71.0357,27.8492,35.78,overcast clouds,85,87,23.82,NO
87,Rawson,-43.3002,-65.1023,68.29,broken clouds,32,62,11.3,AR
88,Tasiilaq,65.6145,-37.6368,32.16,broken clouds,55,57,5.95,GL
89,Qaanaaq,77.484,-69.3632,28.81,overcast clouds,91,100,3.29,GL
90,Kologriv,58.8275,44.3178,45.16,overcast clouds,74,100,6.24,RU
91,Castro,-24.7911,-50.0119,63.99,overcast clouds,76,91,5.14,BR
92,Yarim,14.298,44.3779,54.46,broken clouds,38,75,2.04,YE
93,Lebu,-37.6167,-73.65,52.36,light rain,93,100,24.76,CL
94,Abu Dhabi,24.4667,54.3667,86.02,clear sky,70,0,5.75,AE
95,Bakaly,55.1789,53.8028,45.28,overcast clouds,62,97,5.41,RU
96,Samarai,-10.6167,150.6667,81.57,overcast clouds,81,94,9.17,PG
97,Vikindu,-7.0067,39.2985,76.64,few clouds,83,20,4.61,TZ
98,Bodden Town,19.2833,-81.25,87.8,few clouds,71,20,3.0,KY
99,Axim,4.8699,-2.2405,78.26,moderate rain,91,35,6.06,GH
100,Bredasdorp,-34.5322,20.0403,63.72,scattered clouds,55,47,6.91,ZA
101,Airai,-8.9266,125.4092,62.28,overcast clouds,73,91,2.08,TL
102,Onega,63.9061,38.1404,41.34,light rain,94,100,9.15,RU
103,Penzance,50.1186,-5.5371,54.77,clear sky,82,7,4.38,GB
104,East London,-33.0153,27.9116,68.59,overcast clouds,68,90,5.53,ZA
105,Eureka,40.8021,-124.1637,61.41,clear sky,67,0,10.0,US
106,Trincomalee,8.5711,81.2335,81.12,overcast clouds,77,99,20.51,LK
107,Stromness,58.965,-3.296,54.88,overcast clouds,83,100,18.01,GB
108,Luena,-11.7833,19.9167,68.0,clear sky,35,1,3.2,AO
109,Mar Del Plata,-38.0023,-57.5575,64.09,light intensity drizzle,62,90,3.44,AR
110,Hasaki,35.7333,140.8333,61.2,overcast clouds,78,100,16.2,JP
111,Bethanien,-26.502,17.1583,71.42,clear sky,17,5,17.83,NA
112,San Jose,37.3394,-121.895,71.46,broken clouds,55,75,10.36,US
113,Hermanus,-34.4187,19.2345,58.89,broken clouds,70,75,19.95,ZA
114,Upernavik,72.7868,-56.1549,35.42,moderate rain,97,100,42.35,GL
115,Alta Floresta,-9.8756,-56.0861,76.93,broken clouds,78,70,2.66,BR
116,Shirokiy,49.758,129.523,44.44,broken clouds,88,73,8.01,RU
117,Te Anau,-45.4167,167.7167,45.82,overcast clouds,66,90,0.34,NZ
118,Tabuk,17.4189,121.4443,74.32,overcast clouds,89,100,2.15,PH
119,Berlevag,70.8578,29.0864,33.6,scattered clouds,81,40,30.76,NO
120,Nizwa,22.9333,57.5333,79.11,clear sky,26,0,1.07,OM
121,Chapais,49.7834,-74.8492,62.76,overcast clouds,82,99,0.85,CA
122,Andapa,-14.65,49.65,66.63,overcast clouds,98,96,1.72,MG
123,Grand Gaube,-20.0064,57.6608,70.38,few clouds,87,20,1.99,MU
124,Srednekolymsk,67.45,153.6833,15.71,overcast clouds,96,100,3.96,RU
125,Tiarei,-17.5333,-149.3333,84.22,broken clouds,79,80,13.02,PF
126,Moron,-34.6534,-58.6198,64.96,light rain,86,100,5.06,AR
127,Longyearbyen,78.2186,15.6401,28.24,broken clouds,74,75,9.22,SJ
128,Puerto Ayora,-0.7393,-90.3518,76.96,broken clouds,76,58,10.38,EC
129,San Quintin,30.4833,-115.95,69.66,clear sky,38,0,14.27,MX
130,Cap Malheureux,-19.9842,57.6142,70.47,few clouds,87,18,1.99,MU
131,Lompoc,34.6391,-120.4579,78.01,clear sky,55,1,16.11,US
132,Arraial Do Cabo,-22.9661,-42.0278,71.56,few clouds,88,20,9.22,BR
133,Torbay,47.6666,-52.7314,45.57,broken clouds,85,63,1.99,CA
134,Tucuman,-26.8241,-65.2226,87.8,overcast clouds,35,87,9.22,AR
135,Ambikapur,23.1167,83.2,67.84,scattered clouds,75,33,1.99,IN
136,Saint George,37.1041,-113.5841,63.43,clear sky,35,1,1.01,US
137,Angol,-37.8,-72.7167,55.92,overcast clouds,94,100,10.25,CL
138,Temir,49.1414,57.13,41.52,scattered clouds,35,40,10.27,KZ
139,Saldanha,-33.0117,17.9442,60.85,light rain,91,100,22.35,ZA
140,Kadoma,34.7333,135.5833,69.78,scattered clouds,83,40,11.5,JP
141,Tazovskiy,67.4667,78.7,31.89,light snow,97,100,14.18,RU
