City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
259,Sao Joao Da Barra,BR,73.49,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
263,Aguas Formosas,BR,73.51,overcast clouds,-17.0822,-40.9358,HAVAY PALACE HOTEL
264,Port Hueneme,US,81.63,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
267,Ambagarh Chauki,IN,70.59,broken clouds,20.7833,80.7167,Hunesh kunjam home ....
268,Sinnamary,GF,81.54,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
269,Alora,ES,67.5,clear sky,36.8236,-4.7058,Apartments Vientos de Santa María
271,Samur,RU,60.33,clear sky,41.8253,48.486,Samur
272,Fare,PF,79.12,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
276,Fortuna,US,61.2,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
278,Flinders,AU,65.25,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
279,Fomboni,KM,78.42,scattered clouds,-12.28,43.7425,Auberge les abou
280,Alofi,NU,76.89,few clouds,-19.0595,-169.9187,Taloa Heights
281,Cabo San Lucas,MX,89.19,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
282,Tayu,ID,75.9,broken clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
284,Dakar,SN,80.73,few clouds,14.6937,-17.4441,Redface Studios Meublés
285,Ribeira Grande,PT,72.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
286,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Poutur Pousada
287,Lorengau,PG,84.79,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
288,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
289,Saint-Philippe,RE,72.95,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
290,Goderich,CA,69.21,scattered clouds,43.7501,-81.7165,Harmony Inn
292,Kattivakkam,IN,78.89,overcast clouds,13.2167,80.3167,Euronova Freezer
293,Buchanan,LR,78.76,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
294,Mucuri,BR,73.8,broken clouds,-18.0864,-39.5508,La Bodeguita Pousada
296,Kota Tinggi,MY,82.44,broken clouds,1.7381,103.8999,Canopy Tribe
297,Bethel,US,67.73,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
298,Lagoa,PT,70.38,overcast clouds,39.05,-27.9833,Casa Das Faias
301,Chandbali,IN,79.3,very heavy rain,20.7833,86.7667,KABITA HOMES
303,Takoradi,GH,78.01,light rain,4.8845,-1.7554,Raybow International Hotel
304,Mitsamiouli,KM,77.74,broken clouds,-11.3847,43.2844,Foyer ADM
305,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
306,Kununurra,AU,71.58,few clouds,-15.7667,128.7333,Hotel Kununurra
307,La Palma,US,82.17,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
309,Mattru,SL,75.13,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
310,Benghazi,LY,72.99,clear sky,32.1167,20.0667,Tibesti Hotel
311,Isangel,VU,82.51,few clouds,-19.55,169.2667,Tanna Lodge
313,Ewa Beach,US,83.08,broken clouds,21.3156,-158.0072,Uncle Junior Robert
314,Calama,CL,70.39,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
316,Tura,IN,72.95,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
317,Hamilton,US,76.95,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
318,Itoman,JP,81.37,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
320,Kijang,KR,62.33,broken clouds,35.2442,129.2139,Samyang Beach Villa
321,Sumbe,AO,74.52,few clouds,-11.2061,13.8437,Hotel Ritz Sumbe
323,Sterling,US,76.86,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
324,Porto Novo,BJ,82.22,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
326,Sao Jose Da Coroa Grande,BR,77.29,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
328,Saint Anthony,US,65.14,haze,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
329,Cockburn Town,TC,82.36,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
330,Manjacaze,MZ,68.56,clear sky,-24.7117,33.8828,Hotel Gani
333,Ponta Delgada,PT,70.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
335,Lalmohan,BD,81.61,overcast clouds,22.3384,90.7419,Sundorbon courier service
341,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
344,Tete,MZ,82.49,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
349,Ojinaga,MX,80.56,scattered clouds,29.5667,-104.4167,Suites Las Palmas
352,Catuday,PH,78.8,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
355,Ngunguru,NZ,61.16,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
356,Aksum,ET,62.56,broken clouds,14.1245,38.7244,Remhai Hotel
358,Shrirangapattana,IN,68.92,overcast clouds,12.4136,76.7042,Srinivasa Agrahara
361,Vao,NC,70.66,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
364,Morant Bay,JM,85.62,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
365,Ewo,CG,70.63,light rain,-0.8725,14.8206,Residence Elonda Ewo
367,Mackay,AU,80.04,broken clouds,-21.15,149.2,International Lodge Motel
368,Puerto Madryn,AR,68.92,broken clouds,-42.7692,-65.0385,Hotel Tolosa
369,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
370,Sorong,ID,83.01,overcast clouds,-0.8833,131.25,waigo splash hotel
371,Celestun,MX,84.94,clear sky,20.8667,-90.4,Posada Lilia
373,Lircay,PE,73.94,moderate rain,-12.9896,-74.7205,Hostal Escobar
375,Ailigandi,PA,81.84,broken clouds,9.2333,-78.0167,Akwa Reef Lodge
376,Salvador,SV,79.2,broken clouds,13.8333,-88.9167,Chico's Ranch
378,Tabou,CI,78.37,scattered clouds,4.423,-7.3528,hotêl doufoulougou
379,Bo Rai,TH,81.86,moderate rain,12.5728,102.5371,Baiboon Resort
384,Pangai,TO,77.11,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
387,Santa Branca,BR,76.05,scattered clouds,-23.3967,-45.8839,Jardins do Mirante
389,Bontang,ID,78.19,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
390,Turayf,SA,73.65,broken clouds,31.6725,38.6637,Turaif
391,Mitzic,GA,68.49,moderate rain,0.7821,11.549,Motel Emys
393,Toyooka,JP,64.51,overcast clouds,35.5333,134.8333,O Hotel Toyooka
394,Loandjili,CG,76.5,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
397,Vila Franca Do Campo,PT,70.21,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
398,Presidencia Roque Saenz Pena,AR,74.61,scattered clouds,-26.7852,-60.4388,Hotel Aconcagua
401,Bambous Virieux,MU,70.21,few clouds,-20.3428,57.7575,Casa Tia Villa
402,Porto Velho,BR,82.45,few clouds,-8.7619,-63.9039,Hotel Central
405,Nouadhibou,MR,67.98,few clouds,20.931,-17.0347,El Medina
407,Bam,IR,68.74,clear sky,29.106,58.357,Bam Tourist Hotel
408,Ponta Do Sol,PT,72.23,broken clouds,32.6667,-17.1,Hotel do Campo
410,Tezu,IN,76.05,scattered clouds,27.9167,96.1667,Circuit House
413,Mogadishu,SO,77.47,overcast clouds,2.0371,45.3438,Hotel Juba
414,Laje,BR,85.32,overcast clouds,-10.1833,-40.9667,NN Pousada
415,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
416,Magnolia,US,87.48,overcast clouds,33.2671,-93.2393,Budget Inn
417,Matay,EG,76.51,scattered clouds,28.419,30.7792,Nag Aespen
418,Bonthe,SL,78.84,light rain,7.5264,-12.505,Bonthe Holiday Village
420,Bani,DO,85.75,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
421,Tchollire,CM,77.43,overcast clouds,8.4022,14.1698,"Auberge ""l'amicale"""
428,Dalby,AU,63.99,overcast clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
429,Vanimo,PG,79.86,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
430,Areosa,PT,68.07,clear sky,41.7178,-8.8571,Hotel Flôr de Sal
432,Richards Bay,ZA,76.24,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
433,Clinton,US,75.02,light rain,42.587,-82.9199,Hampton Inn Detroit/Roseville
434,Guerrero Negro,MX,75.96,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
435,Coreau,BR,81.19,scattered clouds,-3.5333,-40.6567,LOJA E POUSADA CARCARÁ
437,Akom,CM,67.37,light rain,2.6678,12.7109,Complexe Hôtelier Jeannette
439,Cuamba,MZ,78.06,broken clouds,-14.8031,36.5372,Hotel Vision
441,Beyla,GN,72.1,light rain,8.6833,-8.6333,DIAN SINKO
446,Tomatlan,MX,85.48,overcast clouds,19.9333,-105.25,El Salvial
447,Ariquemes,BR,87.35,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
451,Tupelo,US,88.09,clear sky,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
453,Los Llanos De Aridane,ES,67.75,few clouds,28.6585,-17.9182,Valle Aridane
458,Mareeba,AU,70.52,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
460,Deming,US,69.69,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
461,Uvinza,TZ,75.74,overcast clouds,-5.1036,30.3911,Crown Lodge
463,Sarwar,IN,76.3,clear sky,26.0667,75.0,सैनी समाज भवन न.2
464,Caluquembe,AO,64.76,broken clouds,-13.7833,14.6833,Hotel Kalukembe
466,Shelburne,CA,67.57,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
468,Sai Buri,TH,77.11,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
470,Dicabisagan,PH,78.39,light rain,17.0818,122.4157,Nancy Montanes Bernardo
471,Nara,JP,69.08,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
472,Tahta,EG,80.55,clear sky,26.7693,31.5021,مصطفي عساف
473,Cantaura,VE,83.79,overcast clouds,9.3057,-64.3584,Hotel Lorenzana
474,Mocuba,MZ,71.06,clear sky,-16.8392,36.9856,Phama Lodge
475,Evanston,US,64.78,overcast clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
476,Tonaya,MX,82.65,overcast clouds,19.7833,-103.9667,Mayra gallardo
480,Sukhumi,GE,64.18,broken clouds,43.0033,41.0153,Ritsa Hotel
481,Danielskuil,ZA,70.39,clear sky,-28.1887,23.5395,Botha'Sig Gastehuis
484,Allen,US,77.09,broken clouds,41.0706,-85.0144,"Holiday Inn Express Fort Wayne-East (New Haven), an IHG Hotel"
487,Prabumulih,ID,73.42,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
488,Kathu,TH,84.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
489,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
491,Mangrol,IN,81.48,clear sky,21.1167,70.1167,Hotel The Royal Honours
493,Maragogi,BR,76.75,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
494,Nabire,ID,78.1,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
496,Gat,IL,78.4,scattered clouds,31.61,34.7642,OlusHome
498,Salinopolis,BR,81.45,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
499,Rocha,UY,64.92,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
501,Itarema,BR,78.66,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
502,Nhulunbuy,AU,77.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
503,Ahuimanu,US,82.85,light rain,21.4447,-157.8378,Paradise Bay Resort
505,Nanakuli,US,83.1,overcast clouds,21.3906,-158.1547,Camp Pālehua
506,Beira,MZ,70.18,clear sky,-19.8436,34.8389,Beira Terrace Hotel
508,Kigorobya,UG,66.97,scattered clouds,1.6162,31.3089,Palace guest house kigorobya
509,Tevaitoa,PF,78.82,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
510,Kawalu,ID,71.98,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
511,Nabisar,PK,83.71,clear sky,25.0685,69.6419,Dhani Parto Dars
512,Pozo Colorado,PY,89.62,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
514,Amarillo,US,76.03,clear sky,35.222,-101.8313,Microtel Inn & Suites by Wyndham Amarillo
517,Camacha,PT,68.76,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
518,Tulagi,SB,82.85,overcast clouds,-9.0996,160.1476,Raiders Hotel & Dive
520,Maha Sarakham,TH,78.19,light rain,16.3333,103.6667,บุญทัน​บาเบอร์
521,Santiago Del Estero,AR,77.81,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
524,Bud,US,73.9,broken clouds,39.447,-86.1758,Ted McQuinn Trust
525,Kerema,PG,79.66,broken clouds,-7.9631,145.7785,Frena Lodge
526,Belmonte,BR,75.7,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
527,Miki,JP,69.4,broken clouds,34.8,134.9833,小野向日葵ホテル
532,Nelson Bay,AU,69.01,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
533,Thongwa,MM,78.96,overcast clouds,16.7619,96.5278,U Poe Sann
534,Ajdabiya,LY,68.16,clear sky,30.7554,20.2263,Almadina Hotel
535,Ranot,TH,81.05,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
536,Saint-Pierre,RE,73.04,broken clouds,-21.3393,55.4781,Lindsey Hôtel
537,Dhidhdhoo,MV,82.51,scattered clouds,6.8833,73.1,Dhidhoo beach
540,Tonantins,BR,84.79,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
542,Escanaba,US,64.2,overcast clouds,45.7453,-87.0646,Sunset Lodge
543,Meulaboh,ID,76.41,overcast clouds,4.1363,96.1285,Kost Pria
545,Pimenta Bueno,BR,87.73,scattered clouds,-11.6725,-61.1936,Cristalina Palace Hotel
548,Brewster,US,68.22,overcast clouds,41.3973,-73.6171,Heidi's Inn
550,Alpena,US,68.32,overcast clouds,45.0617,-83.4327,Days Inn by Wyndham Alpena
555,Abnub,EG,79.75,clear sky,27.2696,31.1511,Romany Adly Gad
556,Kieta,PG,84.07,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
557,Dumas,US,73.11,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
558,Antofagasta,CL,60.08,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
561,Qom,IR,66.49,clear sky,34.6401,50.8764,Qom Hotel
562,Souillac,MU,70.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
564,Bambanglipuro,ID,76.05,broken clouds,-7.95,110.2833,Puri Brata
566,Waynesboro,US,77.14,broken clouds,38.0685,-78.8895,"Holiday Inn Express & Suites Waynesboro-Route 340, an IHG Hotel"
567,Solok,ID,70.12,broken clouds,-0.7918,100.6593,Mami Hotel & Restaurant
569,Betioky,MG,70.23,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
570,Mabaruma,GY,77.72,light rain,8.2,-59.7833,Monty Brooms Guest House
571,Macamic,CA,61.95,overcast clouds,48.7502,-78.9996,"Maison Tardif Enr. - Chambre à Macamic, QC"
572,Sao Felix Do Xingu,BR,81.86,broken clouds,-6.6447,-51.995,Rio Xingu Camping
573,Manati,PR,85.19,light rain,18.4275,-66.4921,Manati World Point Inn
